PartitionKey,RowKey,test_type,test_type@type,protocol,protocol@type,latency_total,latency_total@type,latency_mean,latency_mean@type,latency_max,latency_max@type,latency_min,latency_min@type,throughput,throughput@type,success,success@type,server,server@type
10.2.0.110,01 27 2022 13 50 00,vegeta,String,http,String,2354029.399,Double,196.169116,Double,2864.0363,Double,53.4121,Double,49.94000603,String,1,String,10.1.0.108,String
10.2.0.110,01 27 2022 13 55 00,vegeta,String,http,String,238048925.9,Double,19837.41049,Double,30022.62368,Double,61.963836,Double,30.44315786,String,0.670916667,String,10.1.0.108,String
10.2.0.110,01 27 2022 14 00 00,vegeta,String,http,String,160419672.7,Double,13368.30606,Double,30027.83753,Double,60.869515,Double,36.83476154,String,0.7995,String,10.1.0.108,String
10.2.0.111,01 27 2022 13 50 00,vegeta,String,http,String,1002235.988,Double,83.519665,Double,1052.6154,Double,49.4653,Double,49.97950039,String,1,String,10.1.0.33,String
10.2.0.111,01 27 2022 13 55 00,vegeta,String,http,String,240582153,Double,20048.51275,Double,30024.65005,Double,54.07923,Double,29.62341768,String,0.65525,String,10.1.0.33,String
10.2.0.111,01 27 2022 14 00 00,vegeta,String,http,String,160805028.8,Double,13400.41907,Double,30015.30929,Double,58.455332,Double,35.36212182,String,0.795,String,10.1.0.33,String
10.2.0.112,01 27 2022 13 50 00,vegeta,String,http,String,3663791.761,Double,305.31598,Double,7085.5637,Double,49.3013,Double,49.95851168,String,1,String,10.1.0.129,String
10.2.0.112,01 27 2022 13 55 00,vegeta,String,http,String,241624238,Double,20135.35316,Double,30017.01231,Double,57.047854,Double,30.34538008,String,0.669166667,String,10.1.0.129,String
10.2.0.112,01 27 2022 14 00 00,vegeta,String,http,String,161657666.7,Double,13471.47222,Double,30026.83258,Double,52.802607,Double,36.36843199,String,0.800833333,String,10.1.0.129,String
10.2.0.113,01 27 2022 13 50 00,vegeta,String,http,String,5842407.17,Double,486.867264,Double,5168.8411,Double,54.0944,Double,49.80949138,String,1,String,10.1.0.106,String
10.2.0.113,01 27 2022 13 55 00,vegeta,String,http,String,241590219.8,Double,20132.51831,Double,30023.8117,Double,59.592363,Double,29.83704029,String,0.657916667,String,10.1.0.106,String
10.2.0.113,01 27 2022 14 00 00,vegeta,String,http,String,162128601.7,Double,13510.71681,Double,30021.3723,Double,51.795232,Double,36.50304423,String,0.799833333,String,10.1.0.106,String
10.2.0.114,01 27 2022 13 50 00,vegeta,String,http,String,3280786.754,Double,273.398896,Double,1711.7892,Double,52.191,Double,49.95994376,String,1,String,10.1.0.109,String
10.2.0.114,01 27 2022 13 55 00,vegeta,String,http,String,243341836.6,Double,20278.48638,Double,30021.96951,Double,60.2141,Double,29.49597119,String,0.654666667,String,10.1.0.109,String
