PartitionKey,RowKey,test_type,test_type@type,protocol,protocol@type,latency_total,latency_total@type,latency_mean,latency_mean@type,latency_max,latency_max@type,latency_min,latency_min@type,throughput,throughput@type,success,success@type,server,server@type
10.2.0.116,01 24 2022 14 30 00,vegeta,String,https,String,1355937.621439,Double,112.994801,Double,15789.271704,Double,50.17104,Double,49.41890136658033,String,1,String,10.1.0.11,String
10.2.0.116,01 24 2022 14 35 00,vegeta,String,https,String,2275204.648358,Double,189.600387,Double,30000.907198,Double,50.08889,Double,49.07933115487825,String,0.9998333333333334,String,10.1.0.11,String
10.2.0.117,01 24 2022 14 30 00,vegeta,String,https,String,1184313.394854,Double,98.692782,Double,14222.33026,Double,50.474492,Double,49.522533894224374,String,1,String,10.1.0.123,String
10.2.0.117,01 24 2022 14 35 00,vegeta,String,https,String,1812617.453458,Double,151.051454,Double,30000.284469,Double,50.230229,Double,49.97864836230564,String,0.9999166666666667,String,10.1.0.123,String
10.2.0.118,01 24 2022 14 35 00,vegeta,String,https,String,2178751.201102,Double,181.5626,Double,30001.160987,Double,50.35627,Double,49.481868071375175,String,0.9999166666666667,String,10.1.0.55,String
10.2.0.119,01 24 2022 14 30 00,vegeta,String,https,String,1245615.3629,Double,103.80128,Double,4655.2051,Double,50.2684,Double,49.44066738849437,String,1,String,10.1.0.6,String
10.2.0.119,01 24 2022 14 35 00,vegeta,String,https,String,2334324.659852,Double,194.527054,Double,30000.235825,Double,50.404678,Double,49.64916562735274,String,0.9999166666666667,String,10.1.0.6,String
10.2.0.12,01 24 2022 14 30 00,vegeta,String,https,String,1426467.79417,Double,118.872316,Double,9742.573733,Double,49.882843,Double,49.42561108355966,String,1,String,10.1.0.134,String
10.2.0.12,01 24 2022 14 35 00,vegeta,String,https,String,1606600.542388,Double,133.883378,Double,16210.905115,Double,50.138749,Double,49.46169870649412,String,1,String,10.1.0.134,String
10.2.0.120,01 24 2022 14 30 00,vegeta,String,https,String,1317092.152378,Double,109.757679,Double,8289.606783,Double,50.1635,Double,49.22244229999123,String,1,String,10.1.0.18,String
10.2.0.120,01 24 2022 14 35 00,vegeta,String,https,String,2273076.649319,Double,189.423054,Double,21167.741863,Double,50.282314,Double,48.86315785756372,String,1,String,10.1.0.18,String
10.2.0.121,01 24 2022 14 30 00,vegeta,String,https,String,1412161.651351,Double,117.680137,Double,30004.983354,Double,50.792875,Double,49.42369375098726,String,0.9999166666666667,String,10.1.0.62,String
10.2.0.121,01 24 2022 14 35 00,vegeta,String,https,String,2146692.095752,Double,178.891007,Double,18329.933236,Double,50.843757,Double,49.58367696608377,String,1,String,10.1.0.62,String
10.2.0.122,01 24 2022 14 30 00,vegeta,String,https,String,1385871.924425,Double,115.489327,Double,17185.398982,Double,49.969374,Double,49.140815481809916,String,1,String,10.1.0.128,String
10.2.0.122,01 24 2022 14 35 00,vegeta,String,https,String,1791350.29812,Double,149.279191,Double,13902.985182,Double,50.28633,Double,49.74608369861773,String,1,String,10.1.0.128,String
10.2.0.123,01 24 2022 14 30 00,vegeta,String,https,String,1294951.980254,Double,107.912665,Double,30001.347637,Double,50.298528,Double,49.84196433766875,String,0.9998333333333334,String,10.1.0.67,String
10.2.0.123,01 24 2022 14 35 00,vegeta,String,https,String,1543101.725619,Double,128.59181,Double,18722.478943,Double,50.213587,Double,49.766491156329835,String,1,String,10.1.0.67,String
10.2.0.124,01 24 2022 14 35 00,vegeta,String,https,String,2581150.930137,Double,215.09591,Double,30002.318348,Double,51.548813,Double,49.74740558115309,String,0.9998333333333334,String,10.1.0.77,String
10.2.0.125,01 24 2022 14 30 00,vegeta,String,https,String,1433009.195893,Double,119.417432,Double,30000.742123,Double,50.192831,Double,49.33283748189984,String,0.9999166666666667,String,10.1.0.93,String
10.2.0.125,01 24 2022 14 35 00,vegeta,String,https,String,2311880.995594,Double,192.656749,Double,30000.657814,Double,50.17193,Double,49.15725558923707,String,0.9998333333333334,String,10.1.0.93,String
