PartitionKey,RowKey,test_type,test_type@type,protocol,protocol@type,latency_total,latency_total@type,latency_mean,latency_mean@type,latency_max,latency_max@type,latency_min,latency_min@type,throughput,throughput@type,success,success@type,server,server@type
10.2.0.109,01 28 2022 12 00 00,vegeta,String,https,String,357838501.4,Double,29819.87512,Double,30029.86157,Double,226.841135,Double,0.096317608,String,0.002166667,String,10.1.0.116,String
10.2.0.11,01 28 2022 11 50 00,vegeta,String,https,String,356634059.3,Double,29719.50494,Double,30028.21079,Double,90.3264,Double,0.088901929,String,0.002,String,10.1.0.29,String
10.2.0.11,01 28 2022 11 55 00,vegeta,String,https,String,357239797,Double,29769.98308,Double,30028.52176,Double,67.602997,Double,0.100007329,String,0.00225,String,10.1.0.29,String
10.2.0.11,01 28 2022 12 00 00,vegeta,String,https,String,357250325.6,Double,29770.86046,Double,30026.88632,Double,364.027203,Double,0.107415258,String,0.002416667,String,10.1.0.29,String
10.2.0.110,01 28 2022 11 50 00,vegeta,String,https,String,355824120.4,Double,29652.01003,Double,30022.22444,Double,414.752552,Double,0.08150554,String,0.001833333,String,10.1.0.105,String
10.2.0.110,01 28 2022 11 55 00,vegeta,String,https,String,356735107.3,Double,29727.9256,Double,30028.27696,Double,130.188344,Double,0.12963912,String,0.002916667,String,10.1.0.105,String
10.2.0.110,01 28 2022 12 00 00,vegeta,String,https,String,357068773.8,Double,29755.73115,Double,30028.24223,Double,121.755719,Double,0.125953754,String,0.002833333,String,10.1.0.105,String
10.2.0.111,01 28 2022 11 50 00,vegeta,String,https,String,356715010.8,Double,29726.2509,Double,30026.4851,Double,414.914217,Double,0.081487436,String,0.001833333,String,10.1.0.121,String
10.2.0.111,01 28 2022 11 55 00,vegeta,String,https,String,356841972.8,Double,29736.83107,Double,30024.95152,Double,152.787963,Double,0.114840222,String,0.002583333,String,10.1.0.121,String
10.2.0.111,01 28 2022 12 00 00,vegeta,String,https,String,357368732.4,Double,29780.7277,Double,30025.33078,Double,185.999997,Double,0.10743914,String,0.002416667,String,10.1.0.121,String
10.2.0.112,01 28 2022 11 50 00,vegeta,String,https,String,356326820.6,Double,29693.90172,Double,30027.12096,Double,249.990145,Double,0.107433967,String,0.002416667,String,10.1.0.109,String
10.2.0.112,01 28 2022 11 55 00,vegeta,String,https,String,357697391.1,Double,29808.11593,Double,30026.38735,Double,283.349272,Double,0.077806422,String,0.00175,String,10.1.0.109,String
10.2.0.112,01 28 2022 12 00 00,vegeta,String,https,String,357067296.6,Double,29755.60805,Double,30020.49349,Double,190.815571,Double,0.118547116,String,0.002666667,String,10.1.0.109,String
10.2.0.113,01 28 2022 11 50 00,vegeta,String,https,String,356302162.2,Double,29691.84685,Double,30028.52842,Double,411.030047,Double,0.096337929,String,0.002166667,String,10.1.0.126,String
10.2.0.113,01 28 2022 11 55 00,vegeta,String,https,String,357425812.7,Double,29785.48439,Double,30026.32882,Double,281.507788,Double,0.122253009,String,0.00275,String,10.1.0.126,String
10.2.0.113,01 28 2022 12 00 00,vegeta,String,https,String,356735567.9,Double,29727.964,Double,30026.72344,Double,402.866296,Double,0.144471307,String,0.00325,String,10.1.0.126,String
10.2.0.114,01 28 2022 11 50 00,vegeta,String,https,String,356993602.3,Double,29749.46686,Double,30027.222,Double,264.397867,Double,0.062972243,String,0.001416667,String,10.1.0.108,String
10.2.0.114,01 28 2022 11 55 00,vegeta,String,https,String,357938488.3,Double,29828.20735,Double,30025.41814,Double,65.078927,Double,0.129639113,String,0.002916667,String,10.1.0.108,String
10.2.0.114,01 28 2022 12 00 00,vegeta,String,https,String,358474859.4,Double,29872.90495,Double,30026.87817,Double,69.693785,Double,0.111143809,String,0.0025,String,10.1.0.108,String
10.2.0.115,01 28 2022 11 50 00,vegeta,String,https,String,356395438.9,Double,29699.61991,Double,30025.73464,Double,369.483952,Double,0.111119132,String,0.0025,String,10.1.0.136,String
10.2.0.115,01 28 2022 11 55 00,vegeta,String,https,String,357578533.5,Double,29798.21112,Double,30021.65138,Double,314.485786,Double,0.111165819,String,0.0025,String,10.1.0.136,String
10.2.0.115,01 28 2022 12 00 00,vegeta,String,https,String,357804445.6,Double,29817.03714,Double,30029.89033,Double,399.408421,Double,0.088918928,String,0.002,String,10.1.0.136,String
10.2.0.116,01 28 2022 11 50 00,vegeta,String,https,String,356233183.8,Double,29686.09865,Double,30021.51267,Double,118.350474,Double,0.10004321,String,0.00225,String,10.1.0.117,String
