PartitionKey,RowKey,test_type,test_type@type,protocol,protocol@type,latency_total,latency_total@type,latency_mean,latency_mean@type,latency_max,latency_max@type,latency_min,latency_min@type,throughput,throughput@type,success,success@type,server,server@type
10.2.0.113,01 27 2022 14 30 00,vegeta,String,https,String,95672196.095275,Double,7975.341455,Double,30003.604901,Double,66.079,Double,48.19673896613128,String,0.9942480826942314,String,10.1.0.11,String
10.2.0.113,01 27 2022 14 35 00,vegeta,String,https,String,15098102.848398,Double,1258.175237,Double,30000.420824,Double,59.25308,Double,49.51166046919685,String,0.9999166666666667,String,10.1.0.11,String
10.2.0.114,01 27 2022 14 30 00,vegeta,String,https,String,15454749.790003,Double,1287.895815,Double,30000.443495,Double,50.953257,Double,48.95764778827468,String,0.9999166666666667,String,10.1.0.12,String
10.2.0.114,01 27 2022 14 35 00,vegeta,String,https,String,6614808.160257,Double,551.234013,Double,20403.766383,Double,50.725923,Double,49.524050597454675,String,1,String,10.1.0.12,String
10.2.0.115,01 27 2022 14 30 00,vegeta,String,https,String,16079331.956204,Double,1339.944329,Double,30000.644026,Double,55.186678,Double,48.94011294141932,String,0.9999166666666667,String,10.1.0.129,String
10.2.0.115,01 27 2022 14 35 00,vegeta,String,https,String,7815446.756724,Double,651.287229,Double,17063.319608,Double,50.739541,Double,49.457487257322114,String,1,String,10.1.0.129,String
10.2.0.116,01 27 2022 14 30 00,vegeta,String,https,String,14031711.592387,Double,1169.309299,Double,30000.792576,Double,58.490583,Double,48.85632974548415,String,0.9998333333333334,String,10.1.0.127,String
10.2.0.116,01 27 2022 14 35 00,vegeta,String,https,String,6629526.596549,Double,552.460549,Double,24578.77463,Double,51.803494,Double,49.47036575867407,String,1,String,10.1.0.127,String
10.2.0.117,01 27 2022 14 30 00,vegeta,String,https,String,66867409.482804,Double,5572.284123,Double,30002.236324,Double,59.6814,Double,48.53866231176372,String,0.999,String,10.1.0.133,String
10.2.0.117,01 27 2022 14 35 00,vegeta,String,https,String,17964243.195276,Double,1497.020266,Double,28979.279482,Double,67.537387,Double,49.47814866710449,String,1,String,10.1.0.133,String
10.2.0.118,01 27 2022 14 30 00,vegeta,String,https,String,83792299.247011,Double,6982.691603,Double,30005.53851,Double,83.4204,Double,48.271013976256576,String,0.99725,String,10.1.0.126,String
10.2.0.118,01 27 2022 14 35 00,vegeta,String,https,String,9965184.861262,Double,830.432071,Double,30000.290845,Double,53.89104,Double,49.45376280854764,String,0.9998333333333334,String,10.1.0.126,String
10.2.0.119,01 27 2022 14 30 00,vegeta,String,https,String,70905036.538635,Double,5908.753044,Double,30001.693339,Double,64.2644,Double,48.720745795054285,String,0.9973333333333333,String,10.1.0.118,String
