PartitionKey,RowKey,test_type,test_type@type,protocol,protocol@type,latency_total,latency_total@type,latency_mean,latency_mean@type,latency_max,latency_max@type,latency_min,latency_min@type,throughput,throughput@type,success,success@type,server,server@type,sent_throughput,sent_throughput@type,received_throughput,received_throughput@type,max_rtt,max_rtt@type,min_rtt,min_rtt@type,mean_rtt,mean_rtt@type,duration,duration@type
10.2.0.15,01 27 2022 16 30 00,iperf3,String,,,,,,,,,,,,,,,10.1.0.7,String,1825402325,String,1821653776,String,115990,Int32,21212,Int32,83870,Int32,5,Int64
10.2.0.15,01 27 2022 16 35 00,iperf3,String,,,,,,,,,,,,,,,10.1.0.7,String,2056982691,String,2051571978,String,75390,Int32,17074,Int32,40293,Int32,5,Int64
10.2.0.15,01 27 2022 16 40 00,iperf3,String,,,,,,,,,,,,,,,10.1.0.7,String,2079953880,String,2075662233,String,62647,Int32,27429,Int32,51019,Int32,5,Int64
10.2.0.15,01 27 2022 16 45 00,iperf3,String,,,,,,,,,,,,,,,10.1.0.7,String,1855898718,String,1851071991,String,66825,Int32,28245,Int32,52565,Int32,5,Int64
10.2.0.15,01 27 2022 16 50 00,iperf3,String,,,,,,,,,,,,,,,10.1.0.7,String,1831719401,String,1827130504,String,155400,Int32,49358,Int32,101599,Int32,5,Int64
10.2.0.17,01 27 2022 16 00 00,iperf3,String,,,,,,,,,,,,,,,10.1.0.32,String,1891151337,String,1886794213,String,76575,Int32,28682,Int32,51542,Int32,5,Int64
10.2.0.17,01 27 2022 16 05 00,iperf3,String,,,,,,,,,,,,,,,10.1.0.32,String,1802969221,String,1798263215,String,82963,Int32,23219,Int32,43993,Int32,5,Int64
10.2.0.17,01 27 2022 16 10 00,iperf3,String,,,,,,,,,,,,,,,10.1.0.32,String,1945286173,String,1940053915,String,124513,Int32,36953,Int32,62542,Int32,5,Int64
10.2.0.17,01 27 2022 16 15 00,iperf3,String,,,,,,,,,,,,,,,10.1.0.32,String,1706758198,String,1702324576,String,48252,Int32,18255,Int32,31983,Int32,5,Int64
10.2.0.17,01 27 2022 16 20 00,iperf3,String,,,,,,,,,,,,,,,10.1.0.32,String,1901672438,String,1896205805,String,112180,Int32,9628,Int32,78252,Int32,5,Int64
