PartitionKey,RowKey,test_type,test_type@type,protocol,protocol@type,latency_total,latency_total@type,latency_mean,latency_mean@type,latency_max,latency_max@type,latency_min,latency_min@type,throughput,throughput@type,success,success@type,server,server@type,sent_throughput,sent_throughput@type,received_throughput,received_throughput@type,max_rtt,max_rtt@type,min_rtt,min_rtt@type,mean_rtt,mean_rtt@type,duration,duration@type
10.2.0.106,01 28 2022 10 40 00,vegeta,String,http,String,357905441.3,Double,29825.45345,Double,30021.32681,Double,262.557207,Double,0.107426369,String,0.002416667,String,10.1.0.131,String,,,,,,,,,,,,
10.2.0.106,01 28 2022 10 45 00,vegeta,String,http,String,357731460.3,Double,29810.95502,Double,30018.62598,Double,213.169869,Double,0.144471596,String,0.00325,String,10.1.0.131,String,,,,,,,,,,,,
10.2.0.106,01 28 2022 10 50 00,vegeta,String,http,String,357337884.8,Double,29778.15706,Double,30011.33242,Double,261.799573,Double,0.148191975,String,0.003333333,String,10.1.0.131,String,,,,,,,,,,,,
10.2.0.106,01 28 2022 10 55 00,vegeta,String,http,String,357645749.2,Double,29803.81243,Double,30004.1017,Double,243.330072,Double,0.0666765,String,0.0015,String,10.1.0.131,String,,,,,,,,,,,,
10.2.0.106,01 28 2022 11 00 00,vegeta,String,http,String,357713104.2,Double,29809.42535,Double,30011.31264,Double,246.759729,Double,0.13337475,String,0.003,String,10.1.0.131,String,,,,,,,,,,,,
10.2.0.107,01 28 2022 10 40 00,vegeta,String,http,String,358432011.7,Double,29869.33431,Double,30017.76669,Double,140.202294,Double,0.163011164,String,0.003666667,String,10.1.0.134,String,,,,,,,,,,,,
10.2.0.107,01 28 2022 10 45 00,vegeta,String,http,String,358027130.4,Double,29835.5942,Double,30010.26121,Double,181.550861,Double,0.100025172,String,0.00225,String,10.1.0.134,String,,,,,,,,,,,,
10.2.0.107,01 28 2022 10 50 00,vegeta,String,http,String,358162310.7,Double,29846.85922,Double,30017.31558,Double,98.043305,Double,0.100036947,String,0.00225,String,10.1.0.134,String,,,,,,,,,,,,
10.2.0.107,01 28 2022 10 55 00,vegeta,String,http,String,358006481.3,Double,29833.87344,Double,30015.70328,Double,164.78634,Double,0.129667941,String,0.002916667,String,10.1.0.134,String,,,,,,,,,,,,
10.2.0.107,01 28 2022 11 00 00,vegeta,String,http,String,358713342.9,Double,29892.77858,Double,30016.99985,Double,269.862534,Double,0.137088374,String,0.003083333,String,10.1.0.134,String,,,,,,,,,,,,
10.2.0.108,01 28 2022 10 40 00,vegeta,String,http,String,357249420,Double,29770.785,Double,30018.11871,Double,255.42498,Double,0.129706297,String,0.002916667,String,10.1.0.117,String,,,,,,,,,,,,
10.2.0.108,01 28 2022 10 45 00,vegeta,String,http,String,357933839.5,Double,29827.81996,Double,30020.33044,Double,260.727452,Double,0.137057212,String,0.003083333,String,10.1.0.117,String,,,,,,,,,,,,
10.2.0.108,01 28 2022 10 50 00,vegeta,String,http,String,357829942.7,Double,29819.16189,Double,30020.80449,Double,242.640905,Double,0.114868108,String,0.002583333,String,10.1.0.117,String,,,,,,,,,,,,
10.2.0.108,01 28 2022 10 55 00,vegeta,String,http,String,356986720.3,Double,29748.89336,Double,30020.16014,Double,145.002903,Double,0.125975711,String,0.002833333,String,10.1.0.117,String,,,,,,,,,,,,
10.2.0.108,01 28 2022 11 00 00,vegeta,String,http,String,357638151.5,Double,29803.17929,Double,30011.71994,Double,252.21958,Double,0.103727836,String,0.002333333,String,10.1.0.117,String,,,,,,,,,,,,
10.2.0.109,01 28 2022 10 40 00,vegeta,String,http,String,357082399.8,Double,29756.86665,Double,30017.96754,Double,247.697504,Double,0.140759114,String,0.003166667,String,10.1.0.120,String,,,,,,,,,,,,
10.2.0.109,01 28 2022 10 45 00,vegeta,String,http,String,356897939.9,Double,29741.49499,Double,30014.30997,Double,162.95104,Double,0.111149956,String,0.0025,String,10.1.0.120,String,,,,,,,,,,,,
10.2.0.109,01 28 2022 10 50 00,vegeta,String,http,String,357227663.6,Double,29768.97197,Double,30019.12095,Double,231.639269,Double,0.14447351,String,0.00325,String,10.1.0.120,String,,,,,,,,,,,,
10.2.0.109,01 28 2022 10 55 00,vegeta,String,http,String,357115581.2,Double,29759.63176,Double,30020.81976,Double,242.108733,Double,0.111143962,String,0.0025,String,10.1.0.120,String,,,,,,,,,,,,
10.2.0.109,01 28 2022 11 00 00,vegeta,String,http,String,356781840.3,Double,29731.82003,Double,30013.24053,Double,260.239834,Double,0.133372585,String,0.003,String,10.1.0.120,String,,,,,,,,,,,,
10.2.0.11,01 28 2022 10 40 00,vegeta,String,http,String,357459375.3,Double,29788.28128,Double,30017.96663,Double,257.750553,Double,0.122251537,String,0.00275,String,10.1.0.48,String,,,,,,,,,,,,
10.2.0.11,01 28 2022 10 45 00,vegeta,String,http,String,357159178.3,Double,29763.26486,Double,30018.83581,Double,188.872345,Double,0.122276445,String,0.00275,String,10.1.0.48,String,,,,,,,,,,,,
10.2.0.11,01 28 2022 10 50 00,vegeta,String,http,String,357517195.7,Double,29793.09964,Double,30014.77172,Double,260.865862,Double,0.122276996,String,0.00275,String,10.1.0.48,String,,,,,,,,,,,,
10.2.0.11,01 28 2022 10 55 00,vegeta,String,http,String,357756437.4,Double,29813.03645,Double,30012.73025,Double,252.143969,Double,0.10746297,String,0.002416667,String,10.1.0.48,String,,,,,,,,,,,,
10.2.0.11,01 28 2022 11 00 00,vegeta,String,http,String,357720011.8,Double,29810.00098,Double,30020.13278,Double,243.818814,Double,0.151907951,String,0.003416667,String,10.1.0.48,String,,,,,,,,,,,,
10.2.0.110,01 28 2022 10 40 00,vegeta,String,http,String,357874523.3,Double,29822.87694,Double,30017.03917,Double,264.157238,Double,0.103737072,String,0.002333333,String,10.1.0.130,String,,,,,,,,,,,,
10.2.0.110,01 28 2022 10 45 00,vegeta,String,http,String,357659402.4,Double,29804.9502,Double,30015.08325,Double,251.442801,Double,0.11115888,String,0.0025,String,10.1.0.130,String,,,,,,,,,,,,
10.2.0.110,01 28 2022 10 50 00,vegeta,String,http,String,357164072.8,Double,29763.67274,Double,30019.88288,Double,270.507671,Double,0.118554594,String,0.002666667,String,10.1.0.130,String,,,,,,,,,,,,
10.2.0.110,01 28 2022 10 55 00,vegeta,String,http,String,358078027.5,Double,29839.83563,Double,30018.39639,Double,257.057801,Double,0.077809339,String,0.00175,String,10.1.0.130,String,,,,,,,,,,,,
10.2.0.110,01 28 2022 11 00 00,vegeta,String,http,String,357989556.5,Double,29832.46304,Double,30018.06245,Double,247.268673,Double,0.118562285,String,0.002666667,String,10.1.0.130,String,,,,,,,,,,,,
10.2.0.111,01 28 2022 10 40 00,vegeta,String,http,String,357337771.2,Double,29778.1476,Double,30012.64618,Double,237.924267,Double,0.129681968,String,0.002916667,String,10.1.0.115,String,,,,,,,,,,,,
10.2.0.111,01 28 2022 10 45 00,vegeta,String,http,String,356355026.5,Double,29696.25221,Double,30018.96899,Double,184.500188,Double,0.114880543,String,0.002583333,String,10.1.0.115,String,,,,,,,,,,,,
10.2.0.111,01 28 2022 10 50 00,vegeta,String,http,String,357787072.1,Double,29815.58934,Double,30014.17546,Double,250.336091,Double,0.1556097,String,0.0035,String,10.1.0.115,String,,,,,,,,,,,,
10.2.0.111,01 28 2022 10 55 00,vegeta,String,http,String,357575010,Double,29797.9175,Double,30012.56608,Double,257.504631,Double,0.088916783,String,0.002,String,10.1.0.115,String,,,,,,,,,,,,
10.2.0.111,01 28 2022 11 00 00,vegeta,String,http,String,358011606.8,Double,29834.30057,Double,30016.39369,Double,295.729479,Double,0.114841428,String,0.002583333,String,10.1.0.115,String,,,,,,,,,,,,
10.2.0.112,01 28 2022 10 40 00,vegeta,String,http,String,356416131.4,Double,29701.34428,Double,30019.19898,Double,249.415327,Double,0.107438533,String,0.002416667,String,10.1.0.132,String,,,,,,,,,,,,
10.2.0.112,01 28 2022 10 45 00,vegeta,String,http,String,357781983.3,Double,29815.16527,Double,30017.65776,Double,262.866932,Double,0.137079073,String,0.003083333,String,10.1.0.132,String,,,,,,,,,,,,
10.2.0.112,01 28 2022 10 50 00,vegeta,String,http,String,357182229.8,Double,29765.18581,Double,30016.50189,Double,235.067501,Double,0.111179999,String,0.0025,String,10.1.0.132,String,,,,,,,,,,,,
10.2.0.112,01 28 2022 10 55 00,vegeta,String,http,String,357229105.1,Double,29769.09209,Double,30016.88056,Double,266.04347,Double,0.077783471,String,0.00175,String,10.1.0.132,String,,,,,,,,,,,,
10.2.0.112,01 28 2022 11 00 00,vegeta,String,http,String,357518147.1,Double,29793.17893,Double,30016.80838,Double,203.429938,Double,0.133362848,String,0.003,String,10.1.0.132,String,,,,,,,,,,,,
10.2.0.113,01 28 2022 10 40 00,vegeta,String,http,String,357791569.2,Double,29815.9641,Double,30015.96076,Double,257.882378,Double,0.100029579,String,0.00225,String,10.1.0.128,String,,,,,,,,,,,,
10.2.0.113,01 28 2022 10 45 00,vegeta,String,http,String,357943335.5,Double,29828.61129,Double,30014.81116,Double,146.339878,Double,0.085202073,String,0.001916667,String,10.1.0.128,String,,,,,,,,,,,,
10.2.0.113,01 28 2022 10 50 00,vegeta,String,http,String,357565200.8,Double,29797.10006,Double,30017.49502,Double,97.860863,Double,0.133389533,String,0.003,String,10.1.0.128,String,,,,,,,,,,,,
10.2.0.113,01 28 2022 10 55 00,vegeta,String,http,String,357544531.5,Double,29795.37762,Double,30013.7624,Double,153.400285,Double,0.122258352,String,0.00275,String,10.1.0.128,String,,,,,,,,,,,,
10.2.0.113,01 28 2022 11 00 00,vegeta,String,http,String,357924041.5,Double,29827.00346,Double,30011.65907,Double,277.281491,Double,0.144479001,String,0.00325,String,10.1.0.128,String,,,,,,,,,,,,
10.2.0.114,01 28 2022 10 40 00,vegeta,String,http,String,357598547.1,Double,29799.87893,Double,30019.31978,Double,241.848671,Double,0.12595383,String,0.002833333,String,10.1.0.105,String,,,,,,,,,,,,
10.2.0.114,01 28 2022 10 45 00,vegeta,String,http,String,357679943.1,Double,29806.66193,Double,30019.19977,Double,265.693176,Double,0.088901956,String,0.002,String,10.1.0.105,String,,,,,,,,,,,,
10.2.0.114,01 28 2022 10 50 00,vegeta,String,http,String,356914340.3,Double,29742.86169,Double,30017.1938,Double,265.491436,Double,0.118542831,String,0.002666667,String,10.1.0.105,String,,,,,,,,,,,,
10.2.0.114,01 28 2022 10 55 00,vegeta,String,http,String,357818889.6,Double,29818.2408,Double,30020.95733,Double,105.608172,Double,0.114850799,String,0.002583333,String,10.1.0.105,String,,,,,,,,,,,,
10.2.0.114,01 28 2022 11 00 00,vegeta,String,http,String,357472191.7,Double,29789.34931,Double,30014.16853,Double,104.114789,Double,0.1704208,String,0.003833333,String,10.1.0.105,String,,,,,,,,,,,,
10.2.0.115,01 28 2022 10 40 00,vegeta,String,http,String,357452387.2,Double,29787.69894,Double,30017.41697,Double,243.051741,Double,0.122240226,String,0.00275,String,10.1.0.119,String,,,,,,,,,,,,
10.2.0.115,01 28 2022 10 45 00,vegeta,String,http,String,357412335.4,Double,29784.36128,Double,30016.63961,Double,269.923804,Double,0.144487164,String,0.00325,String,10.1.0.119,String,,,,,,,,,,,,
10.2.0.115,01 28 2022 10 50 00,vegeta,String,http,String,357435432.9,Double,29786.28607,Double,30019.40659,Double,258.657898,Double,0.103749676,String,0.002333333,String,10.1.0.119,String,,,,,,,,,,,,
10.2.0.115,01 28 2022 10 55 00,vegeta,String,http,String,357620067.2,Double,29801.67227,Double,30017.35952,Double,231.102078,Double,0.11116079,String,0.0025,String,10.1.0.119,String,,,,,,,,,,,,
10.2.0.115,01 28 2022 11 00 00,vegeta,String,http,String,356845312.7,Double,29737.10939,Double,30017.62319,Double,240.865615,Double,0.155566849,String,0.0035,String,10.1.0.119,String,,,,,,,,,,,,
10.2.0.116,01 28 2022 10 40 00,vegeta,String,http,String,357777300.1,Double,29814.77501,Double,30016.18057,Double,248.595938,Double,0.107431178,String,0.002416667,String,10.1.0.124,String,,,,,,,,,,,,
