PartitionKey,RowKey,test_type,test_type@type,protocol,protocol@type,latency_total,latency_total@type,latency_mean,latency_mean@type,latency_max,latency_max@type,latency_min,latency_min@type,throughput,throughput@type,success,success@type,server,server@type
10.2.0.131,01 24 2022 09 25 00,vegeta,String,http,String,1627401.835,Double,135.616819,Double,10526.98666,Double,49.451945,Double,49.84072696,String,1,String,10.1.0.139,String
10.2.0.132,01 24 2022 09 25 00,vegeta,String,http,String,1781279.156,Double,148.439929,Double,6353.275645,Double,50.1435,Double,49.82103859,String,1,String,10.1.0.65,String
10.2.0.133,01 24 2022 09 25 00,vegeta,String,http,String,1759125.096,Double,146.593758,Double,7775.161691,Double,49.986008,Double,49.86329454,String,1,String,10.1.0.14,String
10.2.0.134,01 24 2022 09 25 00,vegeta,String,http,String,3508213.515,Double,292.351126,Double,9679.924728,Double,55.7011,Double,49.89891795,String,1,String,10.1.0.120,String
10.2.0.135,01 24 2022 09 25 00,vegeta,String,http,String,1681515.114,Double,140.126259,Double,19654.07786,Double,49.308541,Double,48.84481063,String,1,String,10.1.0.99,String
10.2.0.136,01 24 2022 09 25 00,vegeta,String,http,String,1287286.522,Double,107.273876,Double,4613.513087,Double,49.295703,Double,49.98249225,String,1,String,10.1.0.110,String
10.2.0.137,01 24 2022 09 25 00,vegeta,String,http,String,1665616.382,Double,138.801365,Double,3040.734164,Double,48.951377,Double,49.89788756,String,1,String,10.1.0.13,String
10.2.0.138,01 24 2022 09 25 00,vegeta,String,http,String,1694793.13,Double,141.23276,Double,7241.83659,Double,49.425741,Double,49.82006103,String,1,String,10.1.0.12,String
10.2.0.139,01 24 2022 09 25 00,vegeta,String,http,String,1472128.478,Double,122.677373,Double,2797.041592,Double,49.563873,Double,49.98894611,String,1,String,10.1.0.108,String
10.2.0.14,01 24 2022 09 25 00,vegeta,String,http,String,3021242.834,Double,251.770236,Double,25324.29103,Double,57.8121,Double,49.86814909,String,1,String,10.1.0.112,String
10.2.0.15,01 24 2022 09 25 00,vegeta,String,http,String,1809504.56,Double,150.792046,Double,11113.08289,Double,50.064133,Double,49.98165422,String,1,String,10.1.0.50,String
10.2.0.17,01 24 2022 09 25 00,vegeta,String,http,String,1460546.196,Double,121.712183,Double,14761.6353,Double,48.5273,Double,49.96742673,String,1,String,10.1.0.98,String
10.2.0.18,01 24 2022 09 25 00,vegeta,String,http,String,1754151.916,Double,146.179326,Double,9220.842104,Double,50.158549,Double,49.86200555,String,1,String,10.1.0.35,String
10.2.0.19,01 24 2022 09 25 00,vegeta,String,http,String,1501126.179,Double,125.093848,Double,8049.565365,Double,48.890256,Double,49.9013805,String,1,String,10.1.0.38,String
10.2.0.20,01 24 2022 09 25 00,vegeta,String,http,String,1797691.352,Double,149.807612,Double,6576.429252,Double,50.4822,Double,49.86918173,String,1,String,10.1.0.90,String
10.2.0.22,01 24 2022 09 25 00,vegeta,String,http,String,1310136.47,Double,109.178039,Double,18053.7406,Double,46.283447,Double,49.97272827,String,1,String,10.1.0.73,String
10.2.0.23,01 24 2022 09 25 00,vegeta,String,http,String,2598933.507,Double,216.577792,Double,7144.001182,Double,51.8524,Double,49.73735511,String,1,String,10.1.0.28,String
10.2.0.24,01 24 2022 09 25 00,vegeta,String,http,String,1640734.152,Double,136.727845,Double,6994.787,Double,49.5026,Double,49.9848006,String,1,String,10.1.0.37,String
10.2.0.25,01 24 2022 09 25 00,vegeta,String,http,String,1560880.733,Double,130.073394,Double,7123.0682,Double,49.7251,Double,49.88266029,String,1,String,10.1.0.36,String
10.2.0.27,01 24 2022 09 25 00,vegeta,String,http,String,2391013.854,Double,199.251154,Double,7065.8259,Double,55.0557,Double,49.8352385,String,1,String,10.1.0.52,String
10.2.0.28,01 24 2022 09 25 00,vegeta,String,http,String,3622413.057,Double,301.867754,Double,7216.092,Double,55.0459,Double,49.94944154,String,1,String,10.1.0.126,String
10.2.0.30,01 24 2022 09 25 00,vegeta,String,http,String,1885088.442,Double,157.090703,Double,3405.4517,Double,50.101402,Double,49.89761113,String,1,String,10.1.0.66,String
10.2.0.32,01 24 2022 09 25 00,vegeta,String,http,String,2594536.574,Double,216.211381,Double,6471.8616,Double,51.1039,Double,49.91493647,String,1,String,10.1.0.27,String
